Parameter,Optimal of Male,Optimal of Female,Fitness of Male,Fitness of Female
"(-10,0,-10,0)",10.004439,10.018923,-100.189293,-100.044121
"(-10,0,-10,0.2)",10.000040,10.080158,-100.801582,-99.993980
"(-10,0,-10,0.4)",10.019592,10.161898,-101.621765,-100.172882
"(-10,0,-10,0.6)",9.996126,9.996672,-99.966713,-99.961266
"(-10,0,-10,0.8)",9.991488,9.389035,-93.895477,-99.546799
"(-10,0,-10,1)",7.654847,5.000700,-56.231377,-25.000002
"(-10,0,-10,2)",6.829207,1.526722,-32.080299,-2.510038
"(-10,0,-10,4)",6.774496,-4.987769,11.938452,-26.613327
"(-10,0,-10,6)",6.643233,-12.030906,57.624325,-134.568802
"(-10,0,-10,8)",-60.896351,-18.396963,3197.021240,8364.573242
"(-10,0,-10,10)",-63.281841,276.157013,22113.132812,-83780.398438
"(-10,0,-8,0)",9.294188,8.663175,-87.077126,-74.771973
"(-10,0,-8,0.2)",9.356033,8.614009,-86.617928,-75.303879
"(-10,0,-8,0.4)",9.332318,8.704891,-87.467834,-75.100815
"(-10,0,-8,0.6)",9.335722,8.588161,-86.378204,-75.125465
"(-10,0,-8,0.8)",9.325487,8.703216,-87.451889,-75.041489
"(-10,0,-8,1)",7.000848,4.000579,-49.004051,-16.000000
"(-10,0,-8,2)",6.829095,1.526722,-32.080540,0.543233
"(-10,0,-8,4)",6.297349,-6.220502,15.855785,-29.059357
"(-10,0,-8,6)",6.583435,-15.138005,77.167328,-148.037079
"(-10,0,-8,8)",-92.078987,-24.149969,7175.625000,16342.353516
"(-10,0,-8,10)",-55.205650,225.848129,16067.812500,-63012.250000
"(-10,0,-6,0)",8.668113,7.504607,-76.595734,-53.759296
"(-10,0,-6,0.2)",8.660913,7.503967,-76.588921,-53.705490
"(-10,0,-6,0.4)",8.670260,7.251494,-74.401535,-53.797142
"(-10,0,-6,0.6)",8.424739,7.322919,-74.964844,-52.006050
"(-10,0,-6,0.8)",8.664130,7.340864,-75.176353,-53.759102
"(-10,0,-6,1)",6.546450,3.000000,-42.247841,-9.000000
"(-10,0,-6,2)",6.607179,1.526722,-32.504303,3.257872
